Category,Name of medicine,EMA product number,Medicine status,Opinion status,Latest procedure affecting product information,International non-proprietary name (INN) / common name,Active substance,Therapeutic area (MeSH),"Species
(veterinary)",Patient safety,ATC code (human),ATCvet code (veterinary),"Pharmacotherapeutic group
(human)","Pharmacotherapeutic group
(veterinary)",Therapeutic indication,Accelerated assessment,Additional monitoring,Advanced therapy,Biosimilar,Conditional approval,Exceptional circumstances,Generic,Orphan medicine,PRIME: priority medicine,Marketing authorisation developer / applicant / holder,European Commission decision date,Start of rolling review date,Start of evaluation date,Opinion adopted date,Withdrawal of application date,Marketing authorisation date,Refusal of marketing authorisation date,Withdrawal / expiry / revocation / lapse of marketing authorisation date,Suspension of marketing authorisation date,Revision number,First published date,Last updated date,Medicine URL
Human,Opdivo,EMEA/H/C/003985,Authorised,,VR/0000282199,nivolumab,nivolumab,"Melanoma;Hodgkin Disease;Carcinoma, Renal Cell;Carcinoma, Non-Small-Cell Lung;Carcinoma, Transitional Cell;Squamous Cell Carcinoma of Head and Neck;Urologic Neoplasms;Mesothelioma;Colorectal Neoplasms",,No,L01FF01,,Antineoplastic agents,,"Melanoma  Opdivo as monotherapy or in combination with ipilimumab is indicated for the treatment of advanced (unresectable or metastatic) melanoma in adults and adolescents 12 years of age and older.Relative to nivolumab monotherapy, an increase in progression-free survival (PFS) and overall survival (OS) for the combination of nivolumab with ipilimumab is established only in patients with low tumour PD-L1 expression (see sections 4.4 and 5.1).  Adjuvant treatment of melanoma  Opdivo as monotherapy is indicated for the adjuvant treatment of adults and adolescents 12 years of age and older with Stage IIB or IIC melanoma, or melanoma with involvement of lymph nodes or metastatic disease who have undergone complete resection (see section 5.1).  Non-small cell lung cancer (NSCLC)  Opdivo in combination with ipilimumab and 2 cycles of platinum-based chemotherapy is indicated for the first-line treatment of metastatic non-small cell lung cancer in adults whose tumours have no sensitising EGFR mutation or ALK translocation. Opdivo as monotherapy is indicated for the treatment of locally advanced or metastatic non-small cell lung cancer after prior chemotherapy in adults.  Neoadjuvant treatment of NSCLC  Opdivo in combination with platinum-based chemotherapy is indicated for the neoadjuvant treatment of resectable non-small cell lung cancer at high risk of recurrence in adult patients whose tumours have PD-L1 expression ≥ 1% (see section 5.1 for selection criteria).  Neoadjuvant and adjuvant treatment of NSCLC  Opdivo, in combination with platinum-based chemotherapy as neoadjuvant treatment, followed by OPDIVO as monotherapy as adjuvant treatment, is indicated for the treatment of resectable non-small cell lung cancer at high risk of recurrence in adult patients whose tumours have PD-L1 expression ≥ 1% (see section 5.1 for selection criteria).  Malignant pleural mesothelioma (MPM)  Opdivo in combination with ipilimumab is indicated for the first-line treatment of adult patients with unresectable malignant pleural mesothelioma.  Renal cell carcinoma (RCC)  Opdivo as monotherapy is indicated for the treatment of advanced renal cell carcinoma after prior therapy in adults. Opdivo in combination with ipilimumab is indicated for the first-line treatment of adult patients with intermediate/poor-risk advanced renal cell carcinoma (see section 5.1). Opdivo in combination with cabozantinib is indicated for the first-line treatment of adult patients with advanced renal cell carcinoma (see section 5.1).  Classical Hodgkin lymphoma (cHL)  Opdivo as monotherapy is indicated for the treatment of adult patients with relapsed or refractory classical Hodgkin lymphoma after autologous stem cell transplant (ASCT) and treatment with brentuximab vedotin. Opdivo in combination with brentuximab vedotin is indicated for the treatment of children 5&nbsp;years of age and older, adolescents and adults up to 30&nbsp;years of age with relapsed or refractory classical Hodgkin lymphoma after one prior line of therapy (see section&nbsp;5.1).  Squamous cell cancer of the head and neck (SCCHN)  Opdivo as monotherapy is indicated for the treatment of recurrent or metastatic squamous cell cancer of the head and neck in adults progressing on or after platinum-based therapy (see section 5.1).  Urothelial carcinoma  Opdivo in combination with cisplatin and gemcitabine is indicated for the first-line treatment of adult patients with unresectable or metastatic urothelial carcinoma. Opdivo as monotherapy is indicated for the treatment of locally advanced unresectable or metastatic urothelial carcinoma in adults after failure of prior platinum-containing therapy.  Adjuvant treatment of urothelial carcinoma  Opdivo as monotherapy is indicated for the adjuvant treatment of adults with muscle invasive urothelial carcinoma (MIUC) with tumour cell PD-L1 expression ≥ 1%, who are at high risk of recurrence after undergoing radical resection of MIUC (see section 5.1).  Mismatch repair deficient (dMMR) or microsatellite instability-high (MSI-H) colorectal cancer (CRC)  Opdivo in combination with ipilimumab is indicated for the treatment of adult patients with mismatch repair deficient or microsatellite instability-high colorectal cancer in the following settings:-&nbsp;first-line treatment of unresectable or metastatic colorectal cancer;- treatment of&nbsp;metastatic colorectal cancer after prior fluoropyrimidine-based combination chemotherapy (see section 5.1).  Oesophageal squamous cell carcinoma (OSCC)  Opdivo in combination with ipilimumab is indicated for the first-line treatment of adult patients with unresectable advanced, recurrent or metastatic oesophageal squamous cell carcinoma with tumour cell PD-L1 expression ≥ 1%. Opdivo in combination with fluoropyrimidine‑ and platinum‑based combination chemotherapy is indicated for the first‑line treatment of adult patients with unresectable advanced, recurrent or metastatic oesophageal squamous cell carcinoma with tumour cell PD‑L1 expression&nbsp;≥&nbsp;1%. Opdivo as monotherapy is indicated for the treatment of adult patients with unresectable advanced, recurrent or metastatic oesophageal squamous cell carcinoma after prior fluoropyrimidine‑ and platinum‑based combination chemotherapy.  Adjuvant treatment of oesophageal or gastro‑oesophageal junction cancer (OC or GEJC)  Opdivo as monotherapy is indicated for the adjuvant treatment of adult patients with oesophageal or gastro‑oesophageal junction cancer who have residual pathologic disease following prior neoadjuvant chemoradiotherapy (see section&nbsp;5.1).  Gastric, gastro‑oesophageal junction (GEJ) or oesophageal adenocarcinoma  Opdivo in combination with fluoropyrimidine‑ and platinum‑based combination chemotherapy is indicated for the first‑line treatment of adult patients with HER2‑negative advanced or metastatic gastric, gastro‑oesophageal junction or oesophageal adenocarcinoma whose tumours express PD‑L1 with a combined positive score (CPS)&nbsp;≥&nbsp;5.  Hepatocellular carcinoma (HCC)  Opdivo in combination with ipilimumab is indicated for the first‑line treatment of adult patients with unresectable or advanced hepatocellular carcinoma.",No,No,No,No,No,No,No,No,No,Bristol-Myers Squibb Pharma EEIG,2026/5/3,,,23/04/2015,,19/06/2015,,,,72,30/07/2018,18/03/2026,https://www.ema.europa.eu/en/medicines/human/EPAR/opdivo
Human,Aumseqa,EMEA/H/C/006069,Authorised,,,Aumolertinib,Aumolertinib mesilate,"Carcinoma, Non-Small-Cell Lung",,No,L01EB,,Antineoplastic agents,,"Aumseqa as monotherapy is indicated for:- the first-line treatment of adult patients with advanced non-small cell lung cancer (NSCLC)whose tumours have EGFR exon 19 deletions or exon 21 (L858R) substitution mutations (forbiomarker-based patient selection, see section 4.2).- the treatment of adult patients with advanced EGFR T790M mutation-positive NSCLC (forbiomarker-based patient selection, see section 4.2)",No,Yes,No,No,No,No,No,No,No,SFL Pharmaceuticals Deutschland GmbH,,,,2025/11/12,,2026/12/2,,,,,2025/12/12,27/02/2026,https://www.ema.europa.eu/en/medicines/human/EPAR/aumseqa
Human,Cejemly,EMEA/H/C/006088,Authorised,,VR/0000332420,sugemalimab,sugemalimab,"Carcinoma, Non-Small-Cell Lung",,No,L01FF11,,Antineoplastic agents;monoclonal antibodies and antibody drug conjugates;PD-1/PD-L1 (Programmed cell death protein 1/death ligand 1) inhibitors,,"Cejemly in combination with platinum-based chemotherapy is indicated for the first line treatment of adults with metastatic non small cell lung cancer (NSCLC) with no sensitising EGFR mutations, or ALK, ROS1 or RET genomic tumour aberrations.&nbsp;Cejemly as monotherapy is indicated for the treatment of unresectable stage III NSCLC with no sensitising EGFR mutations, or ALK, ROS1 genomic tumour aberrations in adults whose tumours express PD-L1 on ≥ 1% of tumour cells and whose disease has not progressed following platinum-based chemoradiotherapy.",No,Yes,No,No,No,No,No,No,No,Cstone Pharmaceuticals Ireland Limited,16/02/2026,,,30/05/2024,,24/07/2024,,,,7,31/05/2024,18/02/2026,https://www.ema.europa.eu/en/medicines/human/EPAR/cejemly
Human,Retsevmo,EMEA/H/C/005375,Authorised,,PSUR/0000288253,selpercatinib,selpercatinib,"Carcinoma, Non-Small-Cell Lung;Thyroid Neoplasms",,No,L01EX22,,Antineoplastic agents,,"Retsevmo as monotherapy is indicated for the treatment of adults with:&nbsp;  advanced RET fusion positive non small cell lung cancer (NSCLC) not previously treated with a RET inhibitor advanced RET fusion positive solid tumours, when treatment options not targeting RET provide limited clinical benefit, or have been exhausted (see sections 4.4 and 5.1)  Retsevmo as monotherapy is indicated for the treatment of adults and adolescents 12 years and older with:  advanced RET fusion positive thyroid cancer who are radioactive iodine-refractory (if radioactive iodine is appropriate) advanced RET mutant medullary thyroid cancer (MTC)",No,Yes,No,No,Yes,No,No,No,No,Eli Lilly Nederland B.V.,2026/10/2,,,2020/10/12,,2021/11/2,,,,20,23/04/2021,2026/12/2,https://www.ema.europa.eu/en/medicines/human/EPAR/retsevmo
Human,Imjudo,EMEA/H/C/006016,Authorised,,PSUSA/00011038/202410,tremelimumab,tremelimumab,"Carcinoma, Hepatocellular;Carcinoma, Non-Small-Cell Lung",,No,L01FX20,,Antineoplastic agents,,Imjudo&nbsp;in combination with durvalumab is indicated for the first line treatment of adults with advanced or unresectable hepatocellular carcinoma (HCC). Imjudo&nbsp;in combination with durvalumab and platinum-based chemotherapy is indicated for the first-line treatment of adults with metastatic non-small cell lung cancer (NSCLC) with no sensitising EGFR mutations or ALK positive mutations.,No,Yes,No,No,No,No,No,No,No,AstraZeneca AB,2025/4/8,,,15/12/2022,,20/02/2023,,,,9,2022/9/12,2026/11/2,https://www.ema.europa.eu/en/medicines/human/EPAR/imjudo
Human,Alymsys,EMEA/H/C/005286,Authorised,,EMA/N/0000326153,bevacizumab,bevacizumab,"Colorectal Neoplasms;Breast Neoplasms;Ovarian Neoplasms;Peritoneal Neoplasms;Carcinoma, Non-Small-Cell Lung;Carcinoma, Renal Cell;Uterine Cervical Neoplasms",,No,L01FG01,,Antineoplastic agents,,"Alymsys in combination with fluoropyrimidine based chemotherapy is indicated for treatment of adult patients with metastatic carcinoma of the colon or rectum. Alymsys in combination with paclitaxel is indicated for first line treatment of adult patients with metastatic breast cancer. Alymsys in combination with capecitabine is indicated for first line treatment of adult patients with metastatic breast cancer in whom treatment with other chemotherapy options including taxanes or anthracyclines is not considered appropriate. Patients who have received taxane and anthracycline containing regimens in the adjuvant setting within the last 12 months should be excluded from treatment with Alymsys in combination with capecitabine. Alymsys, in addition to platinum based chemotherapy, is indicated for first line treatment of adult patients with unresectable advanced, metastatic or recurrent non small cell lung cancer other than predominantly squamous cell histology. Alymsys, in combination with erlotinib, is indicated for first line treatment of adult patients with unresectable advanced, metastatic or recurrent non squamous non small cell lung cancer with Epidermal Growth Factor Receptor (EGFR) activating mutations. Alymsys in combination with interferon alfa 2a is indicated for first line treatment of adult patients with advanced and/or metastatic renal cell cancer. Alymsys, in combination with carboplatin and paclitaxel is indicated for the front line treatment of adult patients with advanced (International Federation of Gynecology and Obstetrics (FIGO) stages III B, III C and IV) epithelial ovarian, fallopian tube, or primary peritoneal cancer. Alymsys, in combination with carboplatin and gemcitabine or in combination with carboplatin and paclitaxel, is indicated for treatment of adult patients with first recurrence of platinum sensitive epithelial ovarian, fallopian tube or primary peritoneal cancer who have not received prior therapy with bevacizumab or other VEGF inhibitors or VEGF receptor targeted agents. Alymsys, in combination with topotecan, or pegylated liposomal doxorubicin is indicated for the treatment of adult patients with platinum resistant recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer who received no more than two prior chemotherapy regimens and who have not received prior therapy with bevacizumab or other VEGF inhibitors or VEGF receptor targeted agents. Alymsys, in combination with paclitaxel and cisplatin or, alternatively, paclitaxel and topotecan in patients who cannot receive platinum therapy, is indicated for the treatment of adult patients with persistent, recurrent, or metastatic carcinoma of the cervix.",No,No,No,Yes,No,No,No,No,No,Mabxience Research SL,2026/6/2,,,28/01/2021,,26/03/2021,,,,12,26/04/2021,2026/6/2,https://www.ema.europa.eu/en/medicines/human/EPAR/alymsys
Human,Avzivi,EMEA/H/C/005574,Authorised,,VR/0000322269,bevacizumab,bevacizumab,"Colorectal Neoplasms;Carcinoma, Non-Small-Cell Lung;Carcinoma, Renal Cell;Ovarian Neoplasms;Fallopian Tube Neoplasms;Peritoneal Neoplasms;Uterine Cervical Neoplasms",,No,L01XC07,,Antineoplastic agents,,"Treatment of metastatic carcinoma of the colon or rectum, metastatic breast cancer and recurrence of platinum-sensitive epithelial ovarian, fallopian tube or primary peritoneal cancer first-line treatment of patients with unresectable advanced, metastatic or recurrent non-small cell lung cancer. first line treatment of patients with advanced and/or metastatic renal cell cancer.",No,Yes,No,Yes,No,No,No,No,No,FGK Representative Service GmbH,27/01/2026,,,30/05/2024,,26/07/2024,,,,2,2024/8/8,2026/5/2,https://www.ema.europa.eu/en/medicines/human/EPAR/avzivi
Human,Pemetrexed Accord,EMEA/H/C/004072,Authorised,,VR/0000244639,pemetrexed,pemetrexed disodium hemipentahydrate,"Carcinoma, Non-Small-Cell Lung;Mesothelioma",,No,L01BA04,,Antineoplastic agents,,Malignant pleural mesothelioma Pemetrexed Accord in combination with cisplatin is indicated for the treatment of chemotherapy naïve patients with unresectable malignant pleural mesothelioma. Non-small cell lung cancer Pemetrexed Accord in combination with cisplatin is indicated for the first line treatment of patients with locally advanced or metastatic non-small cell lung cancer other than predominantly squamous cell histology. Pemetrexed Accord is indicated as monotherapy for the maintenance treatment of locally advanced or metastatic non-small cell lung cancer other than predominantly squamous cell histology in patients whose disease has not progressed immediately following platinum-based chemotherapy. Pemetrexed Accord is indicated as monotherapy for the second line treatment of patients with locally advanced or metastatic non-small cell lung cancer other than predominantly squamous cell histology.,No,No,No,No,No,No,Yes,No,No,Accord Healthcare S.L.U.,2025/10/7,,,19/11/2015,,18/01/2016,,,,15,20/04/2018,30/01/2026,https://www.ema.europa.eu/en/medicines/human/EPAR/pemetrexed-accord
Human,Zykadia,EMEA/H/C/003819,Authorised,,VR/0000323613,ceritinib,ceritinib,"Carcinoma, Non-Small-Cell Lung",,No,L01XE,,Antineoplastic agents,,Zykadia is indicated for the treatment of adult patients with anaplastic lymphoma kinase (ALK) positive advanced non small cell lung cancer (NSCLC) previously treated with crizotinib.,No,No,No,No,No,No,No,No,No,Novartis Europharm Limited,28/01/2026,,,26/02/2015,,2015/6/5,,,,24,2018/6/7,29/01/2026,https://www.ema.europa.eu/en/medicines/human/EPAR/zykadia
Human,Abevmy,EMEA/H/C/005327,Authorised,,N/0000326198,bevacizumab,bevacizumab,"Colorectal Neoplasms;Breast Neoplasms;Ovarian Neoplasms;Fallopian Tube Neoplasms;Peritoneal Neoplasms;Carcinoma, Non-Small-Cell Lung;Carcinoma, Renal Cell;Uterine Cervical Neoplasms",,No,L01FG01,,Antineoplastic agents,,"Abevmy in combination with fluoropyrimidine-based chemotherapy is indicated for treatment of adult patients with metastatic carcinoma of the colon or rectum. Abevmy in combination with paclitaxel is indicated for first-line treatment of adult patients with metastatic breast cancer. For further information as to human epidermal growth factor receptor 2 (HER2) status, please refer to section 5.1. Abevmy in combination with capecitabine is indicated for first-line treatment of adult patients with metastatic breast cancer in whom treatment with other chemotherapy options including taxanes or anthracyclines is not considered appropriate. Patients who have received taxane and anthracycline containing regimens in the adjuvant setting within the last 12 months should be excluded from treatment with Abevmy in combination with capecitabine. For further information as to HER2 status, please refer to section 5.1. Abevmy, in addition to platinum-based chemotherapy, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-small cell lung cancer other than predominantly squamous cell histology. Abevmy, in combination with erlotinib, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-squamous non-small cell lung cancer with Epidermal Growth Factor Receptor (EGFR) activating mutations (see section 5.1). Abevmy in combination with interferon alfa-2a is indicated for first line treatment of adult patients with advanced and/or metastatic renal cell cancer. Abevmy, in combination with carboplatin and paclitaxel is indicated for the front-line treatment of adult patients with advanced (International Federation of Gynecology and Obstetrics [FIGO] stages III B, III C and IV) epithelial ovarian, fallopian tube, or primary peritoneal cancer (see section 5.1). Abevmy, in combination with carboplatin and gemcitabine or in combination with carboplatin and paclitaxel, is indicated for treatment of adult patients with first recurrence of platinum-sensitive epithelial ovarian, fallopian tube or primary peritoneal cancer who have not received prior therapy with bevacizumab or other VEGF inhibitors or VEGF receptor–targeted agents. Abevmy in combination with paclitaxel, topotecan, or pegylated liposomal doxorubicin is indicated for the treatment of adult patients with platinum-resistant recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer who received no more than two prior chemotherapy regimens and who have not received prior therapy with bevacizumab or other VEGF inhibitors or VEGF receptor–targeted agents (see section 5.1). Abevmy, in combination with paclitaxel and cisplatin or, alternatively, paclitaxel and topotecan in patients who cannot receive platinum therapy, is indicated for the treatment of adult patients with persistent, recurrent, or metastatic carcinoma of the cervix (see section 5.1).",No,No,No,Yes,No,No,No,No,No,Biosimilar Collaborations Ireland Limited,16/02/2026,,,25/02/2021,,21/04/2021,,,,13,24/02/2021,28/01/2026,https://www.ema.europa.eu/en/medicines/human/EPAR/abevmy
Human,Vegzelma,EMEA/H/C/005534,Authorised,,PSUR/0000274402,bevacizumab,bevacizumab,"Colorectal Neoplasms;Breast Neoplasms;Ovarian Neoplasms;Fallopian Tube Neoplasms;Peritoneal Neoplasms;Carcinoma, Non-Small-Cell Lung;Carcinoma, Renal Cell;Uterine Cervical Neoplasms",,No,L01FG01,,Antineoplastic agents,,"VEGZELMA in combination with fluoropyrimidine based chemotherapy is indicated for treatment of adult patients with metastatic carcinoma of the colon or rectum. VEGZELMA in combination with paclitaxel is indicated for first line treatment of adult patients with metastatic breast cancer. For further information as to human epidermal growth factor receptor 2 (HER2) status, please refer to section 5.1. VEGZELMA in combination with capecitabine is indicated for first line treatment of adult patients with metastatic breast cancer in whom treatment with other chemotherapy options including taxanes or anthracyclines is not considered appropriate. Patients who have received taxane and anthracycline containing regimens in the adjuvant setting within the last 12 months should be excluded from treatment with VEGZELMA in combination with capecitabine. For further information as to HER2 status, please refer to section 5.1. VEGZELMA, in addition to platinum based chemotherapy, is indicated for first line treatment of adult patients with unresectable advanced, metastatic or recurrent non small cell lung cancer (NSCLC) other than predominantly squamous cell histology. VEGZELMA, in combination with erlotinib, is indicated for first line treatment of adult patients with unresectable advanced, metastatic or recurrent NSCLC with Epidermal Growth Factor Receptor (EGFR) activating mutations (see section 5.1). VEGZELMA, in combination with interferon alfa 2a is indicated for first line treatment of adult patients with advanced and/or metastatic renal cell cancer. VEGZELMA, in combination with carboplatin and paclitaxel is indicated for the front line treatment of adult patients with advanced (International Federation of Gynecology and Obstetrics (FIGO) stages III B, III C and IV) epithelial ovarian, fallopian tube, or primary peritoneal cancer (see section 5.1). VEGZELMA, in combination with carboplatin and gemcitabine or in combination with carboplatin and paclitaxel, is indicated for treatment of adult patients with first recurrence of platinum sensitive epithelial ovarian, fallopian tube or primary peritoneal cancer who have not received prior therapy with bevacizumab or other vascular endothelial growth factor (VEGF) inhibitors or VEGF receptor–targeted agents. VEGZELMA in combination with paclitaxel, topotecan, or pegylated liposomal doxorubicin is indicated for the treatment of adult patients with platinum resistant recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer who received no more than two prior chemotherapy regimens and who have not received prior therapy with bevacizumab or other VEGF inhibitors or VEGF receptor–targeted agents (see section 5.1). VEGZELMA, in combination with paclitaxel and cisplatin or, alternatively, paclitaxel and topotecan in patients who cannot receive platinum therapy, is indicated for the treatment of adult patients with persistent, recurrent, or metastatic carcinoma of the cervix (see section 5.1).",No,Yes,No,Yes,No,No,No,No,No,Celltrion Healthcare Hungary Kft.,18/12/2025,,,23/06/2022,,17/08/2022,,,,14,20/06/2022,28/01/2026,https://www.ema.europa.eu/en/medicines/human/EPAR/vegzelma
Human,Oyavas,EMEA/H/C/005556,Authorised,,R/0000278081,bevacizumab,bevacizumab,"Colorectal Neoplasms;Breast Neoplasms;Ovarian Neoplasms;Fallopian Tube Neoplasms;Peritoneal Neoplasms;Carcinoma, Non-Small-Cell Lung;Carcinoma, Renal Cell;Uterine Cervical Neoplasms",,No,L01FG01,,Antineoplastic agents,,"Oyavas in combination with fluoropyrimidine based chemotherapy is indicated for treatment of adult patients with metastatic carcinoma of the colon or rectum. Oyavas in combination with paclitaxel is indicated for first line treatment of adult patients with metastatic breast cancer. For further information as to human epidermal growth factor receptor 2 (HER2) status, please refer to section 5.1. Oyavas in combination with capecitabine is indicated for first line treatment of adult patients with metastatic breast cancer in whom treatment with other chemotherapy options including taxanes or anthracyclines is not considered appropriate. Patients who have received taxane and anthracycline containing regimens in the adjuvant setting within the last 12 months should be excluded from treatment with Oyavas in combination with capecitabine. For further information as to HER2 status, please refer to section 5.1. Oyavas, in addition to platinum based chemotherapy, is indicated for first line treatment of adult patients with unresectable advanced, metastatic or recurrent non small cell lung cancer other than predominantly squamous cell histology. Oyavas, in combination with erlotinib, is indicated for first line treatment of adult patients with unresectable advanced, metastatic or recurrent non squamous non small cell lung cancer with Epidermal Growth Factor Receptor (EGFR) activating mutations (see section 5.1). Oyavas in combination with interferon alfa 2a is indicated for first line treatment of adult patients with advanced and/or metastatic renal cell cancer. Oyavas, in combination with carboplatin and paclitaxel is indicated for the front line treatment of adult patients with advanced (International Federation of Gynecology and Obstetrics (FIGO) stages III B, III C and IV) epithelial ovarian, fallopian tube, or primary peritoneal cancer (see section 5.1). Oyavas, in combination with carboplatin and gemcitabine or in combination with carboplatin and paclitaxel, is indicated for treatment of adult patients with first recurrence of platinum sensitive epithelial ovarian, fallopian tube or primary peritoneal cancer who have not received prior therapy with bevacizumab or other VEGF inhibitors or VEGF receptor–targeted agents. Oyavas, in combination with topotecan, or pegylated liposomal doxorubicin is indicated for the treatment of adult patients with platinum resistant recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer who received no more than two prior chemotherapy regimens and who have not received prior therapy with bevacizumab or other VEGF inhibitors or VEGF receptor targeted agents (see Section 5.1). Oyavas, in combination with paclitaxel and cisplatin or, alternatively, paclitaxel and topotecan in patients who cannot receive platinum therapy, is indicated for the treatment of adult patients with persistent, recurrent, or metastatic carcinoma of the cervix (see section 5.1).",No,No,No,Yes,No,No,No,No,No,STADA Arzneimittel AG,15/01/2026,,,28/01/2021,,26/03/2021,,,,9,15/04/2021,28/01/2026,https://www.ema.europa.eu/en/medicines/human/EPAR/oyavas
Human,Aybintio,EMEA/H/C/005106,Authorised,,PSUR/0000274402,bevacizumab,bevacizumab,"Colorectal Neoplasms;Breast Neoplasms;Ovarian Neoplasms;Fallopian Tube Neoplasms;Peritoneal Neoplasms;Carcinoma, Non-Small-Cell Lung;Carcinoma, Renal Cell;Uterine Cervical Neoplasms",,No,L01FG01,,Antineoplastic agents,,"Aybintio in combination with fluoropyrimidine-based chemotherapy is indicated for treatment of adult patients with metastatic carcinoma of the colon or rectum. Aybintio in combination with paclitaxel is indicated for first-line treatment of adult patients with metastatic breast cancer. For further information as to human epidermal growth factor receptor 2 (HER2) status, please refer to section 5.1 of the SmPC. Aybintio in combination with capecitabine is indicated for first-line treatment of adult patients with metastatic breast cancer in whom treatment with other chemotherapy options including taxanes or anthracyclines is not considered appropriate. Patients who have received taxane and anthracyclinecontaining regimens in the adjuvant setting within the last 12 months should be excluded from treatment with Aybintio in combination with capecitabine. For further information as to HER2 status, please refer to section 5.1 of the SmPC. Aybintio, in addition to platinum-based chemotherapy, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-small cell lung cancer other than predominantly squamous cell histology. Aybintio, in combination with erlotinib, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-squamous non-small cell lung cancer with Epidermal Growth Factor Receptor (EGFR) activating mutations (see section 5.1 of the SmPC). Aybintio in combination with interferon alfa-2a is indicated for first line treatment of adult patients with advanced and/or metastatic renal cell cancer. Aybintio, in combination with carboplatin and paclitaxel is indicated for the front-line treatment of adult patients with advanced (International Federation of Gynecology and Obstetrics (FIGO) stages III B, III C and IV) epithelial ovarian, fallopian tube, or primary peritoneal cancer (see section 5.1 of the SmPC). Aybintio, in combination with carboplatin and gemcitabine or in combination with carboplatin and paclitaxel, is indicated for treatment of adult patients with first recurrence of platinum-sensitive epithelial ovarian, fallopian tube or primary peritoneal cancer who have not received prior therapy with bevacizumab or other VEGF inhibitors or VEGF receptor targeted agents. Aybintio, in combination with topotecan, or pegylated liposomal doxorubicin is indicated for the treatment of adult patients with platinum-resistant recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer who received no more than two prior chemotherapy regimens and who have not received prior therapy with bevacizumab or other VEGF inhibitors or VEGF receptor targeted agents (see section 5.1 of the SmPC). Aybintio, in combination with paclitaxel and cisplatin or, alternatively, paclitaxel and topotecan in patients who cannot receive platinum therapy, is indicated for the treatment of adult patients with persistent, recurrent, or metastatic carcinoma of the cervix (see section 5.1 of the SmPC).",No,No,No,Yes,No,No,No,No,No,Samsung Bioepis NL B.V.,18/12/2025,,,25/06/2020,,19/08/2020,,,,12,2020/2/9,28/01/2026,https://www.ema.europa.eu/en/medicines/human/EPAR/aybintio
Human,Avastin,EMEA/H/C/000582,Authorised,,VR/0000316070,bevacizumab,bevacizumab,"Carcinoma, Non-Small-Cell Lung;Breast Neoplasms;Ovarian Neoplasms;Colorectal Neoplasms;Carcinoma, Renal Cell;Fallopian Tube Neoplasms;Peritoneal Neoplasms;Uterine Cervical Neoplasms",,No,L01FG01,,Antineoplastic agents,,"Bevacizumab in combination with fluoropyrimidine-based chemotherapy is indicated for treatment of adult patients with metastatic carcinoma of the colon or rectum. Bevacizumab in combination with paclitaxel is indicated for first-line treatment of adult patients with metastatic breast cancer. For further information as to human epidermal growth factor receptor 2 (HER2) status. Bevacizumab in combination with capecitabine is indicated for first-line treatment of adult patients with metastatic breast cancer in whom treatment with other chemotherapy options including taxanes or anthracyclines is not considered appropriate. Patients who have received taxane and anthracycline-containing regimens in the adjuvant setting within the last 12 months should be excluded from treatment with Avastin in combination with capecitabine. For further information as to HER2 status. Bevacizumab, in addition to platinum-based chemotherapy, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-small cell lung cancer other than predominantly squamous cell histology. Bevacizumab, in combination with erlotinib, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-squamous non-small cell lung cancer with Epidermal Growth Factor Receptor (EGFR) activating mutations. Bevacizumab in combination with interferon alfa-2a is indicated for first line treatment of adult patients with advanced and/or metastatic renal cell cancer. Bevacizumab, in combination with carboplatin and paclitaxel is indicated for the front-line treatment of adult patients with advanced (International Federation of Gynecology and Obstetrics (FIGO) stages III B, III C and IV) epithelial ovarian, fallopian tube, or primary peritoneal cancer.Bevacizumab, in combination with carboplatin and gemcitabine, is indicated for treatment of adult patients with first recurrence of platinum-sensitive epithelial ovarian, fallopian tube or primary peritoneal cancer who have not received prior therapy with bevacizumab or other VEGF inhibitors or VEGF receptor–targeted agents. Bevacizumab in combination with paclitaxel, topotecan, or pegylated liposomal doxorubicin is indicated for the treatment of adult patients with platinum-resistant recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer who received no more than two prior chemotherapy regimens and who have not received prior therapy with bevacizumab or other VEGF inhibitors or VEGF receptor–targeted agents. Bevacizumab, in combination with paclitaxel and cisplatin or, alternatively, paclitaxel and topotecan in patients who cannot receive platinum therapy, is indicated for the treatment of adult patients with persistent, recurrent, or metastatic carcinoma of the cervix.",No,No,No,No,No,No,No,No,No,Roche Registration GmbH,2026/12/1,,,,,2005/12/1,,,,68,2018/9/8,27/01/2026,https://www.ema.europa.eu/en/medicines/human/EPAR/avastin
