PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,pubmed_url,second_link,pdf_url,download_status,download_error
41344543,Effectiveness of Mindfulness-Based Interventions on Breathlessness in Lung Cancer: A Meta-Analysis,"Wang Y, Li Y, Hu Y, Lewthwaite H, Zhu B, Liao K, Li M, Dai Y, Takemura N, McDonald VM, Yorke J.",J Pain Symptom Manage. 2026 Apr;71(4):e405-e419. doi: 10.1016/j.jpainsymman.2025.11.018. Epub 2025 Dec 2.,Wang Y,J Pain Symptom Manage,2026,2025/12/04,,,10.1016/j.jpainsymman.2025.11.018,https://pubmed.ncbi.nlm.nih.gov/41344543/,,https://www.clinicalkey.com/service/content/pdf/watermarked/1-s2.0-S0885392425009546.pdf?locale=en_US&searchIndex=,success,
41337800,Entrectinib in Asian patients with ROS1 fusion-positive non-small cell lung cancer: updated efficacy and safety analysis,"Lu S, Fan Y, Dong X, Yu Y, Li J, Zhao J, Lin CC, Zhang P, Shi Y, Luo R, Hu X.",Lung Cancer. 2026 Jan;211:108851. doi: 10.1016/j.lungcan.2025.108851. Epub 2025 Nov 21.,Lu S,Lung Cancer,2026,2025/12/03,,,10.1016/j.lungcan.2025.108851,https://pubmed.ncbi.nlm.nih.gov/41337800/,,https://www.gene.com/download/pdf/rozlytrek_prescribing.pdf,success,
41270307,Impact of Histology and PD-L1 Status on Immune Checkpoint Inhibitors in the Treatment of Non-Small Cell Lung Cancer a Systemic Review and Meta-analysis,"Choucair K, Jang H, Jalal SI, Hadid T, Uprety D, Kim S, Mamdani H.",Clin Lung Cancer. 2026 Jan;27(1):1-12. doi: 10.1016/j.cllc.2025.10.014. Epub 2025 Oct 22.,Choucair K,Clin Lung Cancer,2026,2025/11/21,,,10.1016/j.cllc.2025.10.014,https://pubmed.ncbi.nlm.nih.gov/41270307/,,,failed,https://pubmed.ncbi.nlm.nih.gov/41270307/ -> no_live_pdf
41270248,Meta-Analysis of Bias in Non-Small Cell Lung Cancer External Control Arms That Use Real-World Progression-Free Survival as the End Point,"Bahmane S, Harbron C, Incerti D, Ton TGN, Bretscher MT.",JCO Clin Cancer Inform. 2025 Nov;9:e2500198. doi: 10.1200/CCI-25-00198. Epub 2025 Nov 21.,Bahmane S,JCO Clin Cancer Inform,2025,2025/11/21,,,10.1200/CCI-25-00198,https://pubmed.ncbi.nlm.nih.gov/41270248/,,https://ascopubs.org/doi/pdfdirect/10.1200/CCI-25-00198,success,
41242178,"Diagnostic utility of urinary cell-free DNA in non-urothelial cancer: a systematic review, meta-analysis, & network meta-analysis","Yajima S, Hirose K, Masuda H.",Cancer Treat Rev. 2025 Dec;141:103047. doi: 10.1016/j.ctrv.2025.103047. Epub 2025 Nov 13.,Yajima S,Cancer Treat Rev,2025,2025/11/16,,,10.1016/j.ctrv.2025.103047,https://pubmed.ncbi.nlm.nih.gov/41242178/,,,failed,row_timeout>120s
41241154,The future of immunotherapy: Can artificial intelligence predict the survival of lung cancer patients? A systematic review and meta-analysis,"Pramatya SH, Sastri DM, Kencono Wungu CD, Setiawan HW, Amin IM, Zufar MF, Abror ANF.",Respir Med. 2025 Dec;250:108492. doi: 10.1016/j.rmed.2025.108492. Epub 2025 Nov 13.,Pramatya SH,Respir Med,2025,2025/11/15,,,10.1016/j.rmed.2025.108492,https://pubmed.ncbi.nlm.nih.gov/41241154/,,,failed,row_timeout>120s
41241061,Effectiveness of Artificial Intelligence-Assisted Examination for Cancer Detection in Medical Imaging: A Systematic Review and Meta-Analysis,"Song J, Gao Y, Liu W, Sun X, Chen C, Wu IX.",J Am Coll Radiol. 2026 Apr;23(4):586-598. doi: 10.1016/j.jacr.2025.11.003. Epub 2025 Nov 13.,Song J,J Am Coll Radiol,2026,2025/11/15,,,10.1016/j.jacr.2025.11.003,https://pubmed.ncbi.nlm.nih.gov/41241061/,,https://www.clinicalkey.com/service/content/pdf/watermarked/1-s2.0-S1546144025006507.pdf?locale=en_US&searchIndex=,success,
41197381,Systematic review and network meta-analysis: evaluation of systemic therapies for platinum refractory or resistant small cell lung cancer,"Desai RK, Zhou EJ, Chan KKW.",Lung Cancer. 2025 Dec;210:108812. doi: 10.1016/j.lungcan.2025.108812. Epub 2025 Nov 3.,Desai RK,Lung Cancer,2025,2025/11/06,,,10.1016/j.lungcan.2025.108812,https://pubmed.ncbi.nlm.nih.gov/41197381/,,https://www.clinicalkey.com/service/content/pdf/watermarked/1-s2.0-S0169500225007044.pdf?locale=en_US&searchIndex=,success,
41197273,Common genetic variation in the APOE gene and risk of cancer: a systematic review and meta-analysis,"Barakji YA, Hupfeld NB, Bertelsen CA, Frikke-Schmidt R, Nielsen SF, Rasmussen KL.",Atherosclerosis. 2025 Dec;411:120568. doi: 10.1016/j.atherosclerosis.2025.120568. Epub 2025 Oct 31.,Barakji YA,Atherosclerosis,2025,2025/11/06,,,10.1016/j.atherosclerosis.2025.120568,https://pubmed.ncbi.nlm.nih.gov/41197273/,,,failed,https://pubmed.ncbi.nlm.nih.gov/41197273/ -> no_live_pdf
41188103,[Translated article] Network meta-analysis of perioperative immunotherapies in non-small-cell lung cancer according to tumor programmed death ligand 1 expression,"Gil-Sierra MD, Briceño-Casado MDP, Moreno-Ramos C.",Farm Hosp. 2026 Mar-Apr;50(2):T120-T127. doi: 10.1016/j.farma.2025.10.006. Epub 2025 Nov 3.,Gil-Sierra MD,Farm Hosp,2026,2025/11/04,,,10.1016/j.farma.2025.10.006,https://pubmed.ncbi.nlm.nih.gov/41188103/,,,failed,row_timeout>120s
41188102,[Translated article] Influence of age on the efficacy of immunochemotherapy in non-small cell lung cancer,"Aguado-Paredes A, Moñino-Dominguez L, Cordero-Ramos J, Alegre-Del-Rey E.",Farm Hosp. 2026 Jan-Feb;50(1):T57-T63. doi: 10.1016/j.farma.2025.10.007. Epub 2025 Nov 3.,Aguado-Paredes A,Farm Hosp,2026,2025/11/04,,,10.1016/j.farma.2025.10.007,https://pubmed.ncbi.nlm.nih.gov/41188102/,,,failed,https://pubmed.ncbi.nlm.nih.gov/41188102/ -> no_live_pdf
41176872,Association between blood cholesterol profile and risk of lung cancer: A meta-analysis of prospective cohort studies,"Bhattacharya A, Mitra R, Bandyopadhyay A, Sengupta A, Chaudhury K.",Cancer Epidemiol. 2025 Dec;99:102955. doi: 10.1016/j.canep.2025.102955. Epub 2025 Nov 1.,Bhattacharya A,Cancer Epidemiol,2025,2025/11/02,,,10.1016/j.canep.2025.102955,https://pubmed.ncbi.nlm.nih.gov/41176872/,,https://www.clinicalkey.com/service/content/pdf/watermarked/1-s2.0-S1877782125002152.pdf?locale=en_US&searchIndex=,success,
41138294,Sarcopenia and survival in surgically treated non-small cell lung cancer: A systematic review and meta-analysis,"Lading T, Media AS, Tellefsen B, Hansen SN, Schmidt JA, Christensen TD, de Paoli FV.",Eur J Surg Oncol. 2025 Dec;51(12):110538. doi: 10.1016/j.ejso.2025.110538. Epub 2025 Oct 22.,Lading T,Eur J Surg Oncol,2025,2025/10/25,,,10.1016/j.ejso.2025.110538,https://pubmed.ncbi.nlm.nih.gov/41138294/,,https://www.clinicalkey.com/service/content/pdf/watermarked/1-s2.0-S0748798325009667.pdf?locale=en_US&searchIndex=,success,
41108326,Prognostic factors of mortality in patients with cancer infected with COVID-19: A systematic review and meta-analysis using the GRADE approach,"Hwang EC, Hwang JE, Kim K, Kim SJ, Jung JH, Lee H, Sun KH, Han MA.",Int J Cancer. 2026 Mar 15;158(6):1640-1653. doi: 10.1002/ijc.70202. Epub 2025 Oct 17.,Hwang EC,Int J Cancer,2026,2025/10/18,,,10.1002/ijc.70202,https://pubmed.ncbi.nlm.nih.gov/41108326/,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ijc.70202,success,
41092753,The diagnostic accuracy of artificial intelligence models in detecting lymph node metastases in lung cancer using endobronchial ultrasound (EBUS) images: A bivariate meta-analysis,"Ohannesian VA, Falcão L, Ishizuka BM, Menezes IR, Han ML, Suruagy-Motta RFO, Maximiano MLB, Cordeiro DMH, Baptista JM, Mariussi M, Taneja AK, Francisco Neto MJ, Garcia RG, Jacomelli M.",Clin Imaging. 2025 Dec;128:110633. doi: 10.1016/j.clinimag.2025.110633. Epub 2025 Oct 8.,Ohannesian VA,Clin Imaging,2025,2025/10/15,,,10.1016/j.clinimag.2025.110633,https://pubmed.ncbi.nlm.nih.gov/41092753/,,https://www.clinicalkey.com/service/content/pdf/watermarked/1-s2.0-S0899707125002335.pdf?locale=en_US&searchIndex=,success,
41077021,A meta-analysis of the efficacy and safety of hot and cold contrast ablation for the treatment of lung cancer,"Yang K, Meng H, Guo C, Que C, Wang J, Gou Y.",Cryobiology. 2025 Dec;121:105334. doi: 10.1016/j.cryobiol.2025.105334. Epub 2025 Oct 11.,Yang K,Cryobiology,2025,2025/10/12,,,10.1016/j.cryobiol.2025.105334,https://pubmed.ncbi.nlm.nih.gov/41077021/,,,failed,https://pubmed.ncbi.nlm.nih.gov/41077021/ -> no_live_pdf
41076068,Cryoablation Protocols for Primary and Metastatic Lung Tumors: A Systematic Review and Meta-Analysis Evaluating Effectiveness and Safety of Percutaneous Cryoablation of Pulmonary Tumors,"Sarshoghi A, Sarshoghi A, Têtu M, Ng CSH, Yarmus L, Bourgouin P, Solomon SB, Herth F, Liddell RP, Liberman M.",J Vasc Interv Radiol. 2026 Jan;37(1):107871. doi: 10.1016/j.jvir.2025.10.004. Epub 2025 Oct 10.,Sarshoghi A,J Vasc Interv Radiol,2026,2025/10/11,,,10.1016/j.jvir.2025.10.004,https://pubmed.ncbi.nlm.nih.gov/41076068/,,,failed,row_timeout>120s
41045668,"Attrition with adjuvant, neoadjuvant, and perioperative immunotherapy-based treatment protocols in patients with resectable non-small-cell lung cancer. A meta-analysis of prospective trials","Guerrera F, Gallina FT, Balzani E, Ambrosi F, Federico AD, Faccioli E, Facheris G, Ferrara R, Ferro A, Filipello F, Giusti R, Greco C, Mammana M, Marinelli D, Nuccio A, Pittaro A, Sepulcri M, Viscardi G, Bertoglio P.",Lung Cancer. 2025 Nov;209:108760. doi: 10.1016/j.lungcan.2025.108760. Epub 2025 Sep 22.,Guerrera F,Lung Cancer,2025,2025/10/04,,,10.1016/j.lungcan.2025.108760,https://pubmed.ncbi.nlm.nih.gov/41045668/,,,failed,https://pubmed.ncbi.nlm.nih.gov/41045668/ -> no_live_pdf
41038207,Long-term overall survival with dual CTLA-4 and PD-L1 or PD-1 blockade and biomarker-based subgroup analyses in patients with advanced non-small-cell lung cancer: a systematic review and reconstructed individual patient data meta-analysis,"Di Federico A, Stumpo S, Mantuano F, De Giglio A, Lo Bianco F, Pecci F, Alessi JV, Wang X, Sperandi F, Melotti B, Gelsomino F, Skoulidis F, Garassino MC, Peters S, Awad MM, Ardizzoni A, Ricciuti B.",Lancet Oncol. 2025 Nov;26(11):1443-1453. doi: 10.1016/S1470-2045(25)00429-2. Epub 2025 Sep 29.,Di Federico A,Lancet Oncol,2025,2025/10/02,,,10.1016/S1470-2045(25)00429-2,https://pubmed.ncbi.nlm.nih.gov/41038207/,,,failed,https://pubmed.ncbi.nlm.nih.gov/41038207/ -> no_live_pdf
40974667,Environmental cadmium exposure promotes lung cancer via DHX34: A molecular toxicology perspective,"Lu Y, Kong W, Wang K, Shao Z, Hui X, Song X, Zhang S, Ma L, Cheng Z, Su F, Zhang T, Yang K.",Ecotoxicol Environ Saf. 2025 Oct 1;304:119087. doi: 10.1016/j.ecoenv.2025.119087. Epub 2025 Sep 19.,Lu Y,Ecotoxicol Environ Saf,2025,2025/09/20,,,10.1016/j.ecoenv.2025.119087,https://pubmed.ncbi.nlm.nih.gov/40974667/,,,failed,https://pubmed.ncbi.nlm.nih.gov/40974667/ -> no_live_pdf
40921330,Prognostic significance of estimated radiation dose to immune cells in cancer patients undergoing thoracic irradiation: A meta-analysis,"Luan CW, Tsai YT, Chen KY, Yap WK.",Radiother Oncol. 2025 Nov;212:111123. doi: 10.1016/j.radonc.2025.111123. Epub 2025 Sep 6.,Luan CW,Radiother Oncol,2025,2025/09/08,,,10.1016/j.radonc.2025.111123,https://pubmed.ncbi.nlm.nih.gov/40921330/,,https://www.clinicalkey.com/service/content/pdf/watermarked/1-s2.0-S0167814025046274.pdf?locale=en_US&searchIndex=,success,
40902585,Prognostic role of Naples prognostic score in lung cancer: a meta-analysis,"Yang J, Li H, Li L, Lv J.",Biomarkers. 2025 Sep;30(6):420-427. doi: 10.1080/1354750X.2025.2556171. Epub 2025 Sep 9.,Yang J,Biomarkers,2025,2025/09/03,,,10.1080/1354750X.2025.2556171,https://pubmed.ncbi.nlm.nih.gov/40902585/,,,failed,https://www.tandfonline.com/doi/pdf/10.1080/1354750X.2025.2556171 -> http_403:text/html; charset=UTF-8
40829998,Predicting EGFR mutation status in non-small cell lung cancer patients with brain metastases based on MRI radiomics: A systematic review and meta-analysis,"Chang L, Shi H, Zhang H, Wang G, Ruan Z, Li R, Fu M, Li Y, Liu C, Zeng D, Zhang J, Ai L, Hai B.",Radiography (Lond). 2025 Dec;31 Suppl 2:103113. doi: 10.1016/j.radi.2025.103113. Epub 2025 Aug 19.,Chang L,Radiography (Lond),2025,2025/08/19,,,10.1016/j.radi.2025.103113,https://pubmed.ncbi.nlm.nih.gov/40829998/,,,failed,https://pubmed.ncbi.nlm.nih.gov/40829998/ -> no_live_pdf
40825939,The prognostic role of circulating DNA markers in patients with lung malignancies: a systematic review and meta-analysis,"Kazemi-Harikandei SZ, Salmani Jelodar MR, Roshandel G, Tavangar SM.",Biomark Med. 2025 Aug;19(16):793-806. doi: 10.1080/17520363.2025.2548190. Epub 2025 Aug 18.,Kazemi-Harikandei SZ,Biomark Med,2025,2025/08/18,PMC12416206,,10.1080/17520363.2025.2548190,https://pubmed.ncbi.nlm.nih.gov/40825939/,https://www.tandfonline.com/doi/full/10.1080/17520363.2025.2548190,,failed,https://www.tandfonline.com/doi/pdf/10.1080/17520363.2025.2548190 -> http_403:text/html; charset=UTF-8
40789229,Perioperative antifibrotic therapy for patients with idiopathic pulmonary fibrosis undergoing lung cancer surgery: A systematic review and meta-analysis,"Srivali N, De Giacomi F, Moua T, Ryu JH.",Heart Lung. 2025 Nov-Dec;74:266-275. doi: 10.1016/j.hrtlng.2025.08.002. Epub 2025 Aug 10.,Srivali N,Heart Lung,2025,2025/08/11,,,10.1016/j.hrtlng.2025.08.002,https://pubmed.ncbi.nlm.nih.gov/40789229/,,,failed,https://pubmed.ncbi.nlm.nih.gov/40789229/ -> no_live_pdf
40763414,Immune checkpoint inhibitors for advanced non-small cell lung cancer with preexisting COPD and CT-defined emphysema: A systematic review and meta-analysis,"Zhang Y, Zhao J, Ma Z, Yi J, Yuan Y, Lang L, Zhang C, Zhu M, Zhang Y.",Lung Cancer. 2025 Sep;207:108700. doi: 10.1016/j.lungcan.2025.108700. Epub 2025 Aug 4.,Zhang Y,Lung Cancer,2025,2025/08/05,,,10.1016/j.lungcan.2025.108700,https://pubmed.ncbi.nlm.nih.gov/40763414/,,https://www.clinicalkey.com/service/content/pdf/watermarked/1-s2.0-S0169500225005926.pdf?locale=en_US&searchIndex=,success,
40719350,Optimal timing of threshold inspiratory muscle training for functional outcomes in patients undergoing lung cancer surgery: a systematic review and meta-analysis,"Zhao Y, Liu J, Zheng X, Pang J, Zhai J, Li Y.",Disabil Rehabil. 2026 Jan;48(2):276-285. doi: 10.1080/09638288.2025.2537340. Epub 2025 Jul 27.,Zhao Y,Disabil Rehabil,2026,2025/07/28,,,10.1080/09638288.2025.2537340,https://pubmed.ncbi.nlm.nih.gov/40719350/,,,failed,https://www.tandfonline.com/doi/pdf/10.1080/09638288.2025.2537340 -> http_403:text/html; charset=UTF-8
40701555,Immune checkpoint inhibitors as neoadjuvant therapy for resectable non-small cell lung cancer: a systematic review and network meta-analysis,"Aburaki R, Fujiwara Y, Haketa S, Horita N.",J Natl Cancer Inst. 2025 Nov 1;117(11):2191-2201. doi: 10.1093/jnci/djaf190.,Aburaki R,J Natl Cancer Inst,2025,2025/07/23,,,10.1093/jnci/djaf190,https://pubmed.ncbi.nlm.nih.gov/40701555/,,https://watermark02.silverchair.com/djaf190.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAA2IwggNeBgkqhkiG9w0BBwagggNPMIIDSwIBADCCA0QGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMdoy2ObzQySFxkZ_kAgEQgIIDFXThkWneken3nOGaCQ1uAsrvs36vxiXqjcijncpnGBBgrdrsdkfpVcDlp3mCzcqefFTk3LbcWEwD3z4xl6pimbwULDQt4YYbbFEalrgQ-QHEIw05P7yMESnmxEra3jmAJCdl0yKhc1EMG9Tn4PesNCVnlC9XGSsP9o6Wb0KB-TAU1yK0Ykt2jDtICxl7zeV9ENVnUlmOzL5sQvazWG8RiMWAX-vxbID8dgK7lDVkQeazQyNkAlN05ix7dFvD_h1KyjMLFLJ6ttQ8hrXnqGIceagRwmFWEjkiVia0VhwIt_1FsC1aDxIxPAdBtb9W3IEhXpJj6h5PVtTCxHRXvTfxyBQ8oKV5nnrfRKCftzlZSu1xj51v8RJb1i95vLdtmD-ewDbNqdRJH6zpxWLI-9xDxbt77yKA5T4QCW8NkB0KASc6NlhVR41UmPiit7QZDUpYecVJFlpgW1sdIqwgAJqPnJ13C0FOAq9_boeB-k7gOc6-NVel1nTz3CzJvh68J8Q3JPO3YKoW9B2t1QLTb4HDmWUDKU6JETCu5OxrDGoiVINvdoZLTuNxIfjW3O2y98QaC5NNZwWX_I4HdaIUfbGBLjJv9eTevJnSXrfJVIsWOtHhD9uw3y1qWd0tdfmSIc3FWHWKKQNd5D1O6POIBdFZ4vfnMudfuks_S0IMFSjCi7f1pKr3ce_Tk_CtgoeYMhprGPrF1558dJuvO_ankxjbVAQGyd0rYFCiKQ-K2t8Ztlcw_P9vcWu3YbMlZDCtjGAG2Fd9P992QS_OdbOcLP23_WAa9PdY-hCgfYIwO11oY5QGwJ6flL51GsbYWRQU9Aeo3bxMvZ0JSDc1iVdAr9nxIt6_SJ35djRXun77X_g9WsiAWRxsATccD9BFFFU6uw9wGLoUTc0UMqpyf45JFfFPA6iAAPDO4JLzC5YhkyApcnxekrB1DcPxOuPnfMajRVdBGQFOFxfjCSprmFxev9qtsYeezV0VM2zYF3SjbLAgpPuQz8Y5f5nqLEz3J90MRX0ttHz-3Yioq6rZ0eKO53yUXO3CctEoSg,success,
40638873,Immune Checkpoint Inhibitors in Epidermal Growth Factor Receptor-Tyrosine Kinase Inhibitor-Resistant Chemotherapy-Naïve Advanced Non-Small Cell Lung Cancer: A Meta-Analysis Based on Eight Randomized Trials,"Huang L, Zhang S, Sun L, Ma J, Han C.",JCO Precis Oncol. 2025 Jul;9:e2400907. doi: 10.1200/PO-24-00907. Epub 2025 Jul 10.,Huang L,JCO Precis Oncol,2025,2025/07/10,PMC12262128,,10.1200/PO-24-00907,https://pubmed.ncbi.nlm.nih.gov/40638873/,,https://ascopubs.org/doi/pdfdirect/10.1200/PO-24-00907,success,
40382256,Chronic pancreatitis and extra pancreatic cancers- A systematic review and meta analysis,"Quammie S, Crooks CJ, Aliyu A, Aithal GP, Aravinthan AD.",Pancreatology. 2025 Jun;25(4):516-527. doi: 10.1016/j.pan.2025.05.003. Epub 2025 May 10.,Quammie S,Pancreatology,2025,2025/05/17,,,10.1016/j.pan.2025.05.003,https://pubmed.ncbi.nlm.nih.gov/40382256/,,https://www.clinicalkey.com/service/content/pdf/watermarked/1-s2.0-S1424390325000882.pdf?locale=en_US&searchIndex=,success,
40360049,"A systematic review and meta-analysis of the utility of quantitative, imaging-based approaches to predict radiation-induced toxicity in lung cancer patients","Tong D, Midroni J, Avison K, Alnassar S, Chen D, Parsa R, Yariv O, Liu Z, Ye XY, Hope A, Wong P, Raman S.",Radiother Oncol. 2025 Jul;208:110935. doi: 10.1016/j.radonc.2025.110935. Epub 2025 May 11.,Tong D,Radiother Oncol,2025,2025/05/13,,,10.1016/j.radonc.2025.110935,https://pubmed.ncbi.nlm.nih.gov/40360049/,,,failed,https://pubmed.ncbi.nlm.nih.gov/40360049/ -> no_live_pdf
40262688,Stereotactic reirradiation for in-field lung cancer recurrence after stereotactic ablative radiotherapy: A systematic review and meta-analysis,"Jang K, Cross S, Yeghiaian-Alvandi R.",Radiother Oncol. 2025 Jul;208:110898. doi: 10.1016/j.radonc.2025.110898. Epub 2025 Apr 20.,Jang K,Radiother Oncol,2025,2025/04/22,,,10.1016/j.radonc.2025.110898,https://pubmed.ncbi.nlm.nih.gov/40262688/,,https://www.thegreenjournal.com/article/S0167-8140(25)00193-8/pdf,success,
